NEIGHBORHOOD_NAME,DISCTRICT_NUMBER,NVCBP4,NVCBP14A,NVCBP14D,NVCBP14E,NVCBP14G,NVCBP15A,NVCBP15C,NVCBP15F,NVCBP15G,NVCBP16A3,NVCBP16A4,NPCKP17,NPCKP18,NPCKP23,NPCKP44A,NPCKPN62A,NPCKPN62B,NPCKP64A,NPCKP64E,NHCCP3,NHCCP6,NHCCP7,NHCCP8_1,NHCCP8_2,NHCCP8_3,NHCCP8_6,NHCCP8_7,NHCCP8_8,NHCCP8_9,NHCCP9,NHCCP11,NHCCP11A,NHCCP12,NHCCP41,NHCCP41A,NHCCP47A,NHCCP47B,NHCLP2A,NHCLP2B,NHCLP2C,NHCLP2E,NHCLP4,NHCLP5,NHCLP8AB,NHCLP8AE,NHCLP10,NHCLP11,NHCLP29_1A,NHCLP29_1C,NHCLP29_1E,NHCLP29_1F,NPCHP4
Villa Devoto,Comuna 11,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,99.0,1.0,2.0,99.0,2,2,1.0,2012.0,99.0,,,,,,,,99.0,2,,1.0,2,,1,2,2,2,2,2,1,1,,,2,2,,,,,9.0
La Boca,Comuna 4,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,10000000.0,1.0,2.0,10000000.0,2,2,1.0,2004.0,10000000.0,,,,,,,,10000000.0,2,,1.0,1,1.0,2,1,2,2,2,2,2,2,,,3,2,,,,,11.0
San Nicolas,Comuna 1,2,2,2,2,2,2,1,2,1,2,2,1.0,1.0,4000000.0,7.0,2.0,4000000.0,2,1,1.0,2012.0,4000000.0,,,,,,,,4000000.0,2,,2.0,1,1.0,1,2,2,2,2,2,2,2,,,2,2,,,1.0,,11.0
Recoleta,Comuna 2,1,2,2,2,2,2,2,2,2,1,1,1.0,2.0,5000000.0,1.0,2.0,5000000.0,2,1,1.0,2000.0,5000000.0,,,,,,,,5000000.0,2,,1.0,1,1.0,2,2,1,2,2,2,1,1,,,3,2,,,,,9.0
La Paternal,Comuna 15,1,2,2,2,2,1,2,2,2,1,1,1.0,2.0,3500000.0,7.0,2.0,3500000.0,2,1,1.0,99.0,3500000.0,,,,,,,,3500000.0,1,1.0,,1,2.0,2,2,2,2,2,2,1,2,,,2,2,,,,,11.0
Floresta,Comuna 10,1,2,2,2,2,2,2,2,2,9,9,1.0,1.0,6000000.0,1.0,2.0,6000000.0,2,2,1.0,2017.0,6000000.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,6000000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,3,2,,,,,11.0
Constitucion,Comuna 1,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,5200000.0,7.0,2.0,5200000.0,2,2,1.0,2016.0,5200000.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5200000.0,2,,1.0,1,1.0,2,1,2,2,2,2,1,1,,,2,2,,,,,9.0
Almagro,Comuna 5,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,99.0,1.0,2.0,99.0,1,1,1.0,2003.0,99.0,,,,,,,,99.0,2,,1.0,1,2.0,2,2,2,2,2,2,2,2,,,3,2,,,,,9.0
Villa Gral. Mitre,Comuna 11,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,3500000.0,1.0,2.0,3500000.0,2,2,1.0,2020.0,3500000.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3500000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,3,2,,,,,11.0
Liniers,Comuna 9,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,1400000.0,6.0,2.0,1400000.0,2,1,1.0,2000.0,1400000.0,,,,,,,,1400000.0,2,,2.0,1,1.0,2,1,2,2,2,2,2,2,,,2,2,1.0,,,,5.0
La Paternal,Comuna 15,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,99.0,7.0,1.0,99.0,2,2,2.0,2015.0,99.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,1,1.0,,1,3.0,2,2,2,2,2,2,1,1,,,3,2,,,,,10.0
Parque Patricios,Comuna 4,1,2,2,2,2,2,1,2,2,2,2,1.0,1.0,4500000.0,1.0,2.0,4500000.0,2,2,1.0,99.0,4500000.0,,,,,,,,4500000.0,2,,1.0,2,,2,2,2,2,2,2,2,2,,,2,2,,,,,9.0
Villa Santa Rita,Comuna 11,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2500000.0,1.0,2.0,2500000.0,2,2,1.0,2017.0,2500000.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2500000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,3,2,,,,,11.0
Villa Luro,Comuna 10,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,99.0,7.0,1.0,99.0,2,2,1.0,2010.0,99.0,,,,,,,,99.0,2,,1.0,1,1.0,1,2,2,2,2,2,1,1,,,2,2,,,,,11.0
Montserrat,Comuna 1,1,2,2,2,2,1,1,2,2,2,2,1.0,1.0,4600000.0,7.0,2.0,4600000.0,2,1,1.0,2014.0,4600000.0,,,,,,,,4600000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,2,2,,,,,9.0
Martinez,Comuna 13,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,6000000.0,1.0,2.0,6000000.0,2,1,1.0,2015.0,6000000.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6000000.0,2,,1.0,1,1.0,2,1,2,2,2,2,1,1,,,2,2,,,,,9.0
Villa Luro,Comuna 10,1,2,2,2,2,1,2,2,2,2,2,1.0,1.0,3500000.0,1.0,2.0,3500000.0,2,2,1.0,2018.0,3500000.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3500000.0,2,,1.0,2,,2,2,2,2,2,2,2,1,,,3,2,,,,,11.0
La Paternal,Comuna 15,1,2,1,2,2,1,1,2,2,1,1,1.0,1.0,2000000.0,7.0,2.0,2000000.0,2,1,1.0,2019.0,2000000.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2000000.0,1,1.0,,1,1.0,1,1,1,2,2,2,1,1,,,2,2,,,1.0,,9.0
Villa Devoto,Comuna 11,1,2,2,2,2,2,2,2,2,1,1,1.0,2.0,3000000.0,1.0,2.0,3000000.0,2,2,1.0,2005.0,3000000.0,,,,,,,,3000000.0,2,,1.0,1,1.0,1,2,2,2,2,2,1,1,,,3,2,,,,,9.0
Villa Luro,Comuna 10,2,2,2,1,2,1,1,2,2,2,2,1.0,1.0,6500000.0,7.0,2.0,6500000.0,2,2,2.0,99.0,6500000.0,,,,,,,,6500000.0,1,1.0,,2,,1,2,2,2,2,2,2,3,,,2,2,,,,,13.0
Villa Santa Rita,Comuna 11,1,2,2,2,2,2,1,2,2,2,2,1.0,1.0,3800000.0,7.0,2.0,3800000.0,2,2,1.0,2000.0,3800000.0,,,,,,,,3800000.0,2,,2.0,1,1.0,2,1,2,2,2,2,1,1,,,2,2,,,,,9.0
Parque Patricios,Comuna 4,1,2,2,1,2,1,1,2,2,2,2,1.0,1.0,3000000.0,7.0,2.0,3000000.0,2,2,2.0,99.0,3000000.0,,,,,,,,3000000.0,1,2.0,,1,1.0,2,1,2,2,2,2,2,2,,,2,2,,,,,9.0
Monte Castro,Comuna 10,1,2,1,2,2,2,1,2,2,2,2,1.0,1.0,2200000.0,1.0,2.0,2200000.0,2,2,1.0,99.0,2200000.0,,,,,,,,2200000.0,2,,1.0,2,,2,2,2,2,2,2,2,2,,,1,1,,,,,9.0
