NEIGHBORHOOD_NAME,HOOD_ID
Agronomía,28.0
Almagro,814.0
Balvanera,37.0
Barracas,803.0
Belgrano,816.0
Boedo,110.0
Caballito,13.0
Chacarita,804.0
Coghlan,14.0
Colegiales,817.0
Constitución,101.0
Flores,808.0
Floresta,94.0
La Boca,100.0
La Paternal,109.0
Liniers,26.0
Mataderos,102.0
Monte Castro,92.0
Montserrat,813.0
Nueva Pompeya,76.0
Nuñez,802.0
Palermo,83.0
Parque Avellaneda,98.0
Parque Chacabuco,21.0
Parque Chas,807.0
Parque Patricios,78.0
Puerto Madero,44.0
Recoleta,20.0
Retiro,24.0
Saavedra,71.0
San Cristobal,12.0
San Nicolas,65.0
San Telmo,11.0
Versalles,34.0
Villa Crespo,35.0
Villa Devoto,53.0
Villa General Mitre,62.0
Villa Lugano,95.0
Villa Luro,57.0
Villa Ortúzar,75.0
Villa Pueyrredón,112.0
Villa Real,30.0
Villa Riachuelo,73.0
Villa Santa Rita,810.0
Villa Soldati,74.0
Villa Urquiza,89.0
Villa del Parque,42.0
Vélez Sarsfield,806.0
