Type,Description,Bedrooms,Bathroom,Area,Neighborhood,Disctrict,Price
Apartment,Apartment on sale,3,2,70,Villa Devoto,Disctrict 11,360000000
House,House on sale,4,3,170,La Boca,Disctrict 4,670000000
Apartment,Apartment on sale,3,3,144,San Nicolas,Disctrict 1,1120000000
Apartment,Apartment on sale,3,2,154,Recoleta,Disctrict 2,890000000
Apartment,Apartment on sale,2,3,128,La Paternal,Disctrict 15,970000000
Apartment,Apartment on sale,1,2,62,Floresta,Disctrict 10,510000000
Apartment,Apartment on sale,1,2,62,Constitucion,Disctrict 1,500000000
Apartment,Apartment on sale,3,4,212,Almagro,Disctrict 5,2350000000
Apartment,Apartment on sale,3,2,159,Villa Gral. Mitre,Disctrict 11,850000000
Apartment,Apartment on sale,2,2,80,Liniers,Disctrict 9,642000000
Apartment,Apartment on sale,2,2,80,La Paternal,Disctrict 15,652000000
House,House on sale,3,2,59,Parque Patricios,Disctrict 4,168000000
Apartment,Apartment on sale,2,1,45,Villa Santa Rita,Disctrict 11,205000000
House,House on sale,3,3,147,Villa Luro,Disctrict 10,300000000
Apartment,Apartment on sale,4,3,98,Montserrat,Disctrict 1,680000000
House,House on sale,3,4,300,Martinez,Disctrict 13,2519000000
Apartment,Apartment on sale,3,2,87,Villa Luro,Disctrict 10,420000000
Apartment,Apartment on sale,2,2,82,La Paternal,Disctrict 15,620000000
Apartment,Apartment on sale,2,1,45,Villa Devoto,Disctrict 11,239000000
House,House on sale,3,6,380,Villa Luro,Disctrict 10,1600000000
Apartment,Apartment on sale,1,2,50,Villa Santa Rita,Disctrict 11,420000000
Apartment,Apartment on sale,3,2,89,Parque Patricios,Disctrict 4,625000000
House,House on sale,3,5,365,Monte Castro,Disctrict 10,2799000000
House,House on sale,5,5,450,Villa Riachuelo,Disctrict 8,1450000000
House,House on sale,4,5,315,Villa Urquiza,Disctrict 12,2000000000
Apartment,Apartment on sale,3,3,102,Puerto Madero,Disctrict 1,670000000
House,House on sale,4,6,423,Villa Santa Rita,Disctrict 11,1800000000
Apartment,Apartment on sale,3,2,75,Mataderos,Disctrict 9,469000000
House,House on sale,5,2,200,Montserrat,Disctrict 1,580000000
Apartment,Apartment on sale,3,2,67,San Cristobal,Disctrict 3,445000000
